achievement_count	athlete.id	athlete.resource_state	athlete_count	average_speed	comment_count	commute	display_hide_heartrate_option	distance	elapsed_time	elev_high	elev_low	end_latlng1	end_latlng2	external_id	flagged	from_accepted_tag	gear_id	has_heartrate	has_kudoed	heartrate_opt_out	id	kudos_count	manual	map.id	map.resource_state	map.summary_polyline	max_speed	moving_time	name	photo_count	pr_count	private	resource_state	sport_type	start_date	start_date_local	start_latlng1	start_latlng2	timezone	total_elevation_gain	total_photo_count	trainer	type	upload_id	upload_id_str	utc_offset	visibility	workout_type	average_heartrate	max_heartrate
0	37641772	1	1	0	0	FALSE	TRUE	0	5168	0	0	NA	NA	2024-01-02-063210-WAHOOAPPDROID8C54-6-020240102-1-169f4qp.fit	FALSE	FALSE	NA	TRUE	FALSE	FALSE	10477605487	2	FALSE	a10477605487	2		0	5168	Rehabilitation exercises #43	0	0	FALSE	2	Workout	2024-01-02T06:32:10Z	2024-01-02T16:32:10Z	NA	NA	(GMT+10:00) Antarctica/DumontDUrville	0	0	TRUE	Workout	11212379052	11212379052	36000	everyone	NA	70.2	138
1	37641772	1	1	7.3908	0	FALSE	TRUE	7.56	3961	27.4	4.5	-27.4332611449063	153.033017003909	b772fc55-fd9b-42b1-8c56-6f51abad6213.fit	FALSE	FALSE	g12002111	TRUE	FALSE	FALSE	10484085219	3	FALSE	a10484085219	2	`jmfD{_ae\ZRr@CTD`@?\IN?DARBRJ\`@n@d@p@\LBV?d@MTK^a@Xc@`@a@JYHKRSZMN?\LHL`@fAl@r@r@~@h@j@LVx@d@RBb@bAXb@t@|@VRRRXTh@l@j@f@TVR`@Zx@RVDNNRXl@NVNNTN`@LFDR@d@JTBZJHCXDv@NX?\GTM\E\MRCTKj@Al@J^j@p@dBAB?JCBDPGFC`@MTUBOGAUFMBQP[FSLOn@]XMl@QL?DHBVFDDJRPJDDJTNFTHLJv@J?FBBCH@DABGH?FDHAZHHAJH\H@BFA@BDGH}AA?ACDIBA?CAUNQ?IFMNQ\GV?HBX?PDN?bAJEEQEU@e@KMI?SBAT?B@@AD?BCVHT?FCJBDCJ?FBDBCb@ADC@BQQPAHHBDAHWAMRiBIQDJBi@JMNo@NuBRcAPcBJ[JGA@B?@EFAE??CJEXEJ?HEfAUJ?j@MFHDZL`@R^FEBK?UKa@@CFBJ^R\BVHPHd@PTFX\|@Nl@IRAZFb@x@dCP~@Vd@HX^dARp@Fl@Px@hAdCHZT\Zl@NRDLC\WJKJ]@IDG@?BI?g@J?B?C?BUFs@DUDOAaA?k@IUAQEo@E_@Ii@EOK_@s@a@OOKw@w@WQUUSM_@Ms@OEGMSCWYWCMBSCAk@I_@KQ?a@[Q@QEACG?ABBA?BEL_@@GOe@C?A[EQIK@UGWA[@SMa@k@MSWUIISi@G]CCO@MECEI@QFm@LULc@`@S^KX@PA@FDLCBEFSDm@[mBE@AGFUADGDGEc@Hc@OYLOCOBM?IDK?WDS?UDeA@EB@?ACYGi@EgAUM?[M_@Qc@_@s@eA{AiDg@o@a@c@IGOSo@q@UQmAwAOU]gACCy@[kAeAkAuA_@k@Qa@EEG?MGKC[?_@XQTIT[X]l@[XMF_@H_@?u@UgBwASG}@NS?YEaA?eBcBo@_@i@m@c@Uy@m@UK[ACBCFKbCWfCKRCj@BN?LCj@Kr@	23.6304	3682	Road running #6	0	0	FALSE	2	Run	2024-01-03T07:39:09Z	2024-01-03T17:39:09Z	-27.4327164050192	153.035720838234	(GMT+10:00) Australia/Brisbane	49.8	0	FALSE	Run	11219098304	11219098304	36000	everyone	0	125.5	166
0	37641772	1	1	0	0	FALSE	TRUE	0	5008	0	0	NA	NA	2024-01-04-055005-WAHOOAPPDROID8C54-7-020240104-1-16pvdwr.fit	FALSE	FALSE	NA	TRUE	FALSE	FALSE	10490361386	2	FALSE	a10490361386	2		0	5008	Rehabilitation exercises #44	0	0	FALSE	2	Workout	2024-01-04T05:50:05Z	2024-01-04T15:50:05Z	NA	NA	(GMT+10:00) Antarctica/DumontDUrville	0	0	TRUE	Workout	11225617933	11225617933	36000	everyone	NA	72.1	137
4	37641772	1	1	19.1628	0	FALSE	TRUE	40.778400000000005	8610	276.6	4.5	-27.4331111926585	153.03288272582	2024-01-04-220241-WAHOOAPPDROID8C54-8-020240104-1-spl3ci.fit	FALSE	FALSE	b10387460	TRUE	FALSE	FALSE	10495887131	6	FALSE	a10495887131	2	x~lfD{`ae\j@oErIbGzDC|ChBxAUjBoCfAQpH|H|@dBjEnEhE`HpF|@fFq@z@p@d@~Aa@zB[]ZeAlDcB|B`EtKxAEh@n@bAlBh@nExDtBRd@xAa@nCXdC~@lByArBrBvKfHrEjJzBzHv@Jw@sC_DnAaExARlE`GhBfFj@`Fh@lQbA~DdCzD~E`AjBmA|C_E|@Qr@b@pEgA`CmDhAsHlHkI|DWbAZAzCbAl@dElHw@d@eAjC[pCXbAh@vO`ArEzAjCZzCbBtDx[nb@~JzIfMpOjN~LzKxF}@pB_Hv\cAnUuC|DiEnDWxDh@vAq@jJ`@Nm@hB`A~Be@dBgAzHx@SMcA_Db@{@{BwAg@wBl@oFxDmBpFoFb]@dClFpOVrH~HvBpIjIdBzDjClA|AzC`F~C`G`IvDxAnDrCf@vAi@vBrBxCj@tC]dCl@@r@{GgA_A`AjBh@uBO{@qKeJ}E}BaGyHuEuCgBcDoCuA{AgDcB}AkIsE_EP{Bq@_AuB^oE]sCeE{FgFu@yTnHyIvHkExLEpBx@rHgBzCq@lD_Ev@}@jABjAdAbCk@pCFhAdAvAFz@y@rBkDxBOdARdA`BzABzAoE|CqAhCYhCRxArDzBrDtDb@tA@fAqBzGoAbKfA~PvAnHdCfBtVn@bH|Hv@XtAElCaBnGcIlEsBnB{EjDuDlAi@vDMpByB`@kCBmFf@qB|GcJ`AcRd@}AjB[lClD`BVjFaBhEyD`E{@v@mBJkCY}@z@_AnAgJ_D_Da@H[|AZqAh@|@SROeCsDgDmGgDuFmHyEuC_B_D_DcBwAeDmBiBo@EaAhDr@?`@mAg@sBkBk@iC_C{ELuBw@y@{Bh@uEUyAkE}GiEaAmDn@yA{AkBqHFiEvGqPs@}FFsBdBiE|@gHo@iDuFmDKaCbAcEHwEsEmAs@aEeA_AyGc@wCjB}BgAqGy@eAkAuBN}AjA?b@YErHiGj@_PtAgDc@mDnBkTq@oLLuAtCoInImHjCuEtBeAcEeS`@_ADuDm@cBtAqBxA`Bj@{@sCkDqA_EOoBeB_D}@kE{@aTvCoFiAiAuCiGe@yAX]_F{@sB`AeFnGyAzHsB|CqClAuDSsFjGiBTsDcBoBkD_AwEoAaW}A{EyE_HcBKiAtDjCtC?hAuUuF}BmAaBqB}BaJdAuBs@{A[iC^cESi@sC_@wEiEgBi@i@gBoL_BeB{DoCnAo@rARd@^uBmAmC_Gh@wEs@yEmH{GeIaHiHeANkBjCuAXiDmBsD?wIcGiAfN	61.5672	7661	Mt Coot-tha summit #147	0	0	FALSE	2	Ride	2024-01-04T22:03:57Z	2024-01-05T08:03:57Z	-27.4325180053711	153.03414914757	(GMT+10:00) Australia/Brisbane	702.7	0	FALSE	Ride	11231378709	11231378709	36000	everyone	10	125.8	167
0	37641772	1	1	0	0	FALSE	TRUE	0	5268	0	0	NA	NA	2024-01-05-063751-WAHOOAPPDROID8C54-9-020240105-1-et7k98.fit	FALSE	FALSE	NA	TRUE	FALSE	FALSE	10497014414	2	FALSE	a10497014414	2		0	5268	Rehabilitation exercises #45	0	0	FALSE	2	Workout	2024-01-05T06:37:51Z	2024-01-05T16:37:51Z	NA	NA	(GMT+10:00) Antarctica/DumontDUrville	0	0	TRUE	Workout	11232556181	11232556181	36000	everyone	NA	77.4	130
29	37641772	1	2	23.997600000000002	0	FALSE	TRUE	119.777	24103	68.2	4.2	-27.433181097731	153.032999150455	2024-01-06-174421-WAHOOAPPDROID8C54-10-020240106-295766-1dxbiq8.fit	FALSE	FALSE	b10387460	TRUE	FALSE	FALSE	10508628079	9	FALSE	a10508628079	2	l}lfDix`e\pAkNxIdGjIdBvGsDvWb\xMFnAxBc@jCLkBfDyA|BhEpKnAb@dBtL`G`BbNwAdBhC~L`HxDlSrDaCwEfCiErF~GlChK`A`UvD~HlFfAdGwGjIgAzDeMbI_J`HdAWdBhFjJ_ClDChEz@qEtG{GdHqO~NgLlH{@pVcTz@uF|NxLhClFvAuC{AwJpA}N|GkCjBrAhAqCfHYrN}EjOiA~GcF|D}H|KxCzC{@rCaNJsJbAk@~QmAtj@vFpZuJpIuMjTgh@tZqXUsArEs@MkCuFoGkAX_OkXzF_JqGiM|JmIpC_OlBqF~GmGwP}[dC_EgFgJ{C_@^}Nla@qi@rp@sf@fIecA{Am@`BGZoDiAAm@{Bt@oI`BHf@qD`J~A~FcGjWVnBq@b@iFzCaBpHmCfFb@gEs]jCsU]oB`@pAfHw[[ah@nBiOjEiLx_@ee@zD{HhHiU`@kN~DuPb@wN`GcUXaWfCwVkCoRW}XqCgMvIeiAy@qWn@eMvNmTpBmHnBaNr@mUjBcIbTkYhByF^aNoCwl@cM_^iAsJfAgSo@}IdB}FrDil@nFcd@~Jg\~S_kAjf@ww@lDkW}@qCdY_IpDuCmIeg@rEqn@sq@uIa@eEiOk@iA{A|@uKeAsFgt@uJAqD~DaMfMoBfQlJzAhDnFrDjIdAmHm@qHoEuAfMlj@bHtBiRtS}ZfBaI`FwDsJeSyH`A~BmHlAf@sAg@|@n@MoA|BiC`Do@X~GsCtDni@xfA}O~L_K`iAF~LnIxb@i^dMiSl@sIrCom@`]iWvVa_@nQkh@`JeaBeE~A}jA{gAmCy@{I{Oea@k}@wRgIYgDnCO{BvSd@nw@rPlDvD|Lp^j@bGyA|TKbeAqBrf@}hAaBcDzgAgGpUw{@mJeE|@qQzzBjApA{Ae@`ByXs}DofAzuI~nHyC?s@rRibC`cPiM|PgCzG^dAiAt@yBx]|AxYuLbLyBfFa@ho@yA|PmEzK{@pH`Hdi@pSza@zDnMdJzNz@zM_Ap_@gEb_@k@dJgC~MkDz@yKuCuDrHoG`F_RdBuU~EkAjCz@x@wDeCuGrCsAlObBbJeApBwEsAyBnEwNjEem@p`@yE|GXbAiCuOeJaK]fAiHEkGvH}DdMwC`BcEQqGtGwFwAuBuDkCk]cIeO}AEeApD|B`FcV{FkE_EwBgJbAsBmAaFXaFiDg@eIiGpDQtAaAcAxBlCpEhC\gCqJaJt@@_GcEMm@rDuDe@cC}DsCrAWlBj@aCyAeCwMIkWw[gGpDcJiBwIaGcAnM	64.2852	17969	Victoria point #1 Cleveland point #3 Wellington point #3 Brisbane Showgrounds #2 ^f ^p !!	0	17	FALSE	2	Ride	2024-01-06T17:44:34Z	2024-01-07T03:44:34Z	-27.4330826103687	153.032897980884	(GMT+10:00) Australia/Brisbane	905.5	9	FALSE	Ride	11244858498	11244858498	36000	everyone	10	114.7	166
0	37641772	1	1	0	0	FALSE	TRUE	0	5715	0	0	NA	NA	2024-01-07-060339-WAHOOAPPDROID8C54-11-020240107-322602-3pdlmy.fit	FALSE	FALSE	NA	TRUE	FALSE	FALSE	10509332232	4	FALSE	a10509332232	2		0	5715	Rehabilitation exercises #46	0	0	FALSE	2	Workout	2024-01-07T06:03:39Z	2024-01-07T16:03:39Z	NA	NA	(GMT+10:00) Antarctica/DumontDUrville	0	0	TRUE	Workout	11245730936	11245730936	36000	everyone	NA	84.2	142
3	37641772	1	1	6.57	0	FALSE	TRUE	7.972300000000001	4919	80.1	5.2	-27.4331709556282	153.033152204007	1d6e37f5-8d92-4cff-82f3-365b51d1fe24.fit	FALSE	FALSE	g12002093	TRUE	FALSE	FALSE	10521798381	4	FALSE	a10521798381	2	n{lfDuw_e\EZIZKx@Cn@WbBCDUNmAp@IZGb@KVSx@IRKj@MLE@[^e@ZK\Mp@E^@^ARDf@CNFJJpA?DQRIFAJVDRF?JBDd@BTDVTDZKR@HAHO^OTMJSHUPM@SNUDMA[UGQC[BMHQHGz@]LMPGHANDLFHJD?Bh@EPGJYPUFYTQF]B[SIUAOFc@PQp@[\SRAXLHPDRBZAJSRgAj@WDQ?IGKKKc@@QDSb@[ZMRMXKN?HBLJHJFp@D?BEF_@Pa@?OGSMIQ?SEc@?Q@WFCBo@RSB[LOTk@ZEFOH{@x@g@VWFU?OBEDEAr@QZQp@k@j@q@bAq@TIXCPED@\M`@IL?DBN?n@NLHHLAb@GXYb@MLIBCDM\EBKREAMf@?PGJCNBLEHDJTLLBPHHb@LPPLKNG@]PANWf@GF@XBJCp@EVIxAQxAAr@SvB?Za@|DCfABNKv@AN@FE@SEAOB_@BYDy@Fe@Fw@ViCPqCZmDHg@AmAAEGG]EE@[Ag@MI?e@IMG[Ey@Ee@Gc@?UEi@?y@Ok@GKCy@@IEMBACOAS?SIO?EBC`@BEBSLI^@RDL@BA`ALHEJMRCx@JBAD@J?p@NP?~@Nd@B^Hb@?HF@VQtBCr@Kf@?d@Mv@?l@IZDq@DGC@E?AAB@@HD@AC@LF@b@Db@?l@HL?@PLP?XC\DXKhBIn@GTKzBIj@@HDB^?RAd@SPQd@[JMb@Sv@k@BATOf@WZ]p@YCCLQBA@DDGJ??I`@_@DOB?LBF?DEF@BGFCNKHKHC\SL?BCDONOj@aAZYDOBC@KTSJERUP]h@w@NKFOf@m@JUPSHOHGNa@RWh@c@LE^i@G??CLUd@kAVg@DQBeAF]J{A@_AVUDKBkAE[?WE[Ke@MIEOFM?EOm@BGJCHGNGL@Q{@IKY}@GGo@eDUq@Gg@Q_@e@aBOaAU]EQNcCAQFa@?OEI@EC@BG?@FIJg@CK?B?S@QRM@OHQDe@?YBAACLsABk@Fo@NyCLILB@AB??CB??B@CGD]ACC@A?GIIJODCBIDe@@q@BKLqANUNi@@OHOBq@O?SDa@?GAk@CMEw@AKCYUC@Cr@GJCV@r@Gf@GlAEd@Ah@KhAQx@AVGNBh@Mx@An@ER@JUnBDBAFGXGd@CDI?	12.492	4368	Eildon Hill Reservoir #1	0	1	FALSE	2	Run	2024-01-09T01:15:49Z	2024-01-09T11:15:49Z	-27.4332370888442	153.032272355631	(GMT+10:00) Australia/Brisbane	181.5	2	FALSE	Run	11258636094	11258636094	36000	everyone	0	130.9	179
6	37641772	1	1	18.6876	0	FALSE	TRUE	42.0475	9245	276.6	4.5	-27.4331340752542	153.032972328365	2024-01-12-034125-WAHOOAPPDROID8C54-12-020240112-55136-1y97d66.fit	FALSE	FALSE	b10387460	TRUE	FALSE	FALSE	10541702426	10	FALSE	a10541702426	2	v}lfD_y`e\hAqMnA\lG`FzD?tCfBxAS`C_DbABbP`RdCvEhBhBtDj@vGi@nAjCK`Bc@THwAnDkBrBzDzKzAh@fBlBl@jE~D|BRf@`A]fDTdC`AnByAjBz@jGhAlD~GxD`J~BtHv@BiAmCqCnA_E~AJjEbGtB|FfAtVp@rD|BvElDpAhBRfGiHpF@bBgAfBoDp@sFbAcBa@On@L~E}FzB[pC\A^ZBUhBzFpJ}@j@yAlG\~@f@vO`AtExAlC`@jDxAdD`\tb@jH~FrMbPrJ|I[lF~A`EhLfGiFzVqAtVmIhI]zAGrBh@pAq@nJ\Zk@~AfAzBo@`C_AbHt@W@_AkDTeA}BuAYmIrE}BfG}E~YSnD^rCjE|L@|EXpAlHdBnI`IrBnEpCvAxAtCvEvCzFvHlDzAzEnDTnAe@rBrBtCh@rC[hCh@Jd@_Ft@eCSiAkIgHyGgDwFsHsFoDqAqCqCuAgDwFaJiFuEJsBu@y@qBZaFSuBkEgGsEu@mT|GmJrHyEjNt@~IQvAoA~Ai@lD_At@{C\s@~A?l@jAxBg@fElAlDq@lBaDpB]zA\lAtAnA@`BqE`DwAbDQvB^pAfDhB~DhE\fA?lAaCtI}@zH|@pOzA`JlBdBjWr@bHzHfA`@~@EdDqBlFkHdFeCbAgBXgBfDkDvAy@zDKfBeBn@_D@gFj@yBzG_JdAoRb@qAtBWfCfDdAXxF{AnE_E`Ey@z@gCMyDx@q@p@iGkAqAx@nBr@wBWaA}H_H{HgEmEaGwF}DcB}CoCwA_BmDiJiIsFOwAa@YuCJsEsEaNc@@_@bB{@f@uCi@wDj@_BmB_BwF?oDhAyFpE{Jm@gIjBuF|@iHq@aDsFkDKuBhAgFCiEgE_A{@qEcAw@{G_@oCfBiCeAkGy@{AkAcBPyAhA?`@YGrHkGh@mPvAwCc@eDpB}Tm@aNnCwIrKwJvA{CrBgAcBqIaA}Ba@yDf@w@DuDu@mB|AgB`AbBdAo@{BoCmAoDnMmLtCS}CnD~B~FlGtJBp@qBmCoMuWE}Au@gDaA_BMgBD_Br@eAa@_@a@tAb@BDeAeCyLeF{HcBmAc@@UfAiGu@sH`JsAfHoB`DyCxAwDQ_E|EiCpAeEqB}B_Ew@kEC}FcAqNmBqFsEsGaBKgAzDpCzCOz@aUkFgCwAmB}BuB_JfAoBsA_Fb@eE]u@qCY_FqEwAYm@kBmKmA_CaE_DrAc@`ALd@b@a@D_BaB_CeFn@oF_A_EuGkQ_SeARiBhCyATgDkBoD@yIcGiA|M	59.0688	8100	Mt Coot-tha summit #148	0	0	FALSE	2	Ride	2024-01-12T03:41:35Z	2024-01-12T13:41:35Z	-27.4331131204963	153.032989511266	(GMT+10:00) Australia/Brisbane	706.6	1	FALSE	Ride	11279652107	11279652107	36000	everyone	10	121.6	165
1	37641772	1	1	17.056800000000003	0	FALSE	TRUE	43.3116	10599	276.6	4.5	-27.4331455584615	153.032989511266	2024-01-13-030455-WAHOOAPPDROID8C54-13-020240113-38999-1v7qmrr.fit	FALSE	FALSE	b10387460	TRUE	FALSE	FALSE	10547488701	9	FALSE	a10547488701	2	z}lfDqy`e\fAeMzIdGzDAvChBzAWrBwCbAEhHvHjNnRtEn@~Fo@pAlCc@vBW]f@sAzCsA|BjEtKnAf@fBjBl@pE`E~BRh@x@c@rCR|C|@lBsAfB~@nHz@dCtHjEdIrB~Ht@L_AoC}ChAyD~ANrElGfBhFjAhWv@vDrBbE|CpAvBR~F}GfBTzEmAlByCtAuHdIkJzF^b@~@UpAdFfJ{BlD[zB~@dR|CbJ^tCvAlDh[bb@bI|GzMdPtJ~IB~Be@lB~AfElLbGsFhWgAdV{I~IW~Dh@pAq@lJ\Pk@zA~@zBi@~FaAjDv@OKgAwCh@_A}B_Bg@yI~E}BpGiFn^h@rDjEtLEzE\hAhH`BvIhIvBpEbCfAhAdCjFdD~FbItDvApErDRdAi@vBlBjCn@xC]rCj@Bh@cEw@}CZv@l@?`@w@QgAsLyJuD}AoGeIyE{CkAgCcDgBuA_DsBkBmHeEyEFuBq@}@iC`@kEQsBgEgGoFw@qJvDuHdB_JlHwEdMErCt@rFMtAuAfBo@vDwDr@gArA?dA`AzBg@`EhAxBDpAw@bBiCzAk@pAPnAdBnB@dAc@|@qDrBaB|E?pAh@nAbD`BhDlDd@vAKlBsDfR|@rOzAfJdCjB~Vp@vIzI~@AdDiBhG_IrE{BxBmFrCuCzAs@rDIjBqBf@oCBmFh@yBzG{IbB_UvB]`C`DvBXpEsArEeEbEy@p@eBE}Ep@m@tAaJS{@mHqGoHyDwFqH_G}DcAcCqCwAaCoEeIiHwAi@oDRiAy@o@wA`@uCIwBsEqM_@DaBhCeDg@{Ch@aBgBiBkHHkDdAgErEgKs@oFJuC~AcD`A{H}@mDgFyCKaCdAsEBmEuEsAs@kEiAq@}G_@aCfBuCkAiGq@sAoA}AL_BlACd@WIrHcGI}Bh@uAD}EQn@\eDnAcD]cEjBySm@mNpCqItKyJjAuC~BkAeEiSl@oBEiCo@_B~AqBjArBt@}@sEkH`NeMxAe@n@VoCpDvCtHrFnJgByBwMeXkC{L@kBn@yAu@@I`Ab@DCeBuBmKuE{FcCsDaAxAwEg@qBnAcFfGwAnHqCzDsBx@sDWkFbGiCRyDoBsByEe@}Cq@kR]mCiBgFeGgHmAdAe@lCfCbC@jAgUiFqD_CqBwDeAwFdAuBsAcF^eE}@_AmBIeDcDwCqAc@_A`@eGoEEy@rDgDYyB}D[AqCtA_@`ARb@\g@FaCiAwAeFh@{Ee@gBqAiAaC\|@U`@Rg@{A{C{PsRgADkBpCwAZoDmBiDF}IiGiAvM	59.846399999999996	9141	Mt Coot-tha summit #149	0	1	FALSE	2	Ride	2024-01-13T03:04:58Z	2024-01-13T13:04:58Z	-27.4330501724035	153.033096296713	(GMT+10:00) Australia/Brisbane	716.2	0	FALSE	Ride	11285708366	11285708366	36000	everyone	10	108.6	154
