achievement_count	athlete.id	athlete.resource_state	athlete_count	average_speed	comment_count	commute	display_hide_heartrate_option	distance	elapsed_time	elev_high	elev_low	end_latlng1	end_latlng2	external_id	flagged	from_accepted_tag	gear_id	has_heartrate	has_kudoed	heartrate_opt_out	id	kudos_count	manual	map.id	map.resource_state	map.summary_polyline	max_speed	moving_time	name	photo_count	pr_count	private	resource_state	sport_type	start_date	start_date_local	start_latlng1	start_latlng2	timezone	total_elevation_gain	total_photo_count	trainer	type	upload_id	upload_id_str	utc_offset	visibility	workout_type	average_heartrate	max_heartrate
0	37641772	1	1	0	0	FALSE	TRUE	0	3784	NA	NA	NA	NA	2023-01-01_03-19-26_00d24ce1-f2a8-4a1c-aa37-df24e508208d.tcx	FALSE	FALSE	NA	TRUE	FALSE	FALSE	8319008493	1	FALSE	a8319008493	2		0	3784	Strength and stability exercises #52*	0	0	FALSE	2	Workout	2023-01-01T02:18:36Z	2023-01-01T12:18:36Z	NA	NA	(GMT+10:00) Australia/Brisbane	0	0	TRUE	Workout	8919477952	8919477952	36000	everyone	NA	74.5	149
79	37641772	1	1	21.0564	2	FALSE	TRUE	40.462199999999996	6993	277.1	5.2	-27.4332181	153.0329604	2023-01-01_07-03-22_91e5bdfa-3dbd-4bed-a70a-c64ef407703c.tcx	FALSE	FALSE	b10387460	TRUE	FALSE	FALSE	8319234026	3	FALSE	a8319234026	2	n}lfDgz`e\`AqLlA^bHnFlDG~ClBlB_@dB{CfAAtEbGpAv@hGzHtBjEnApAtFdArFo@rAhCi@nCSW`@}AhDcBxBdEfDb@NlA`FLb@bA|Ad@|EfEvBLt@~@a@dENnBv@jBcAdB`BhHfC|DnBnAvLfDxGpARg@Oi@iCmCf@gCj@{@b@CdGfHpBzFdBjZhBtEfAfA~C|@vAExFuG~AXlAAjC{@hA{@z@_C~@wGlGmHfBwAnEt@p@nCtEhJqBbCq@nBz@bT|@tDjBpDT`C~AfEj\~b@zGjF|PdSzGlGBlCc@tAzAhE~KtFkFhXeAnUeDxDyDvCQhAGfCf@~@o@tJ^Rg@dBz@xBi@jBEnCaAlDx@CFw@UQyC`@}@sByAq@{Bj@kFvD}A`EaGx_@ZdDxE~NIpFnA`AbFn@zC`C~ExEdB~DlC|ApAnCdF~CnFpHrDfAlE`ETjAe@rBdCfCp@`De@jCj@BtAiI[sAsIcIeG}CkFkH}F}DcAcCyC_BgBkDwBmBgHgEsEBiC{@_AcCf@kEQmBkCmC_AqB}E}@oK|DwF`AeKdIyEvMKzB`AvFInAcBtBu@vDmEdAg@jAdA~Eo@rCfAnCDhAs@zAkDzBYpAZ`AzAlAFrBoEdCcApBe@vCPlB|CtAfD~CnAjDeCfJq@`Ih@jPzA`J~ClBhVh@pI~IpAEdEyBtFoHpE}B|@sAh@yB~C_E`Go@pBsBt@sEK}Cr@oCxGkI`AeQf@{Bt@i@`ALzBjDz@RtGkBrEyDrDs@f@}@V_CMoCn@e@xAmISkA}HwGcH{DgGoIaFkDgA_C}CmAiBoDoBiBkCaA_DsCgFViB_As@qCl@yDOqBwEuHxJom@nGuElC{@hA\v@~BrCONbAo@T@y@fAiCj@eFeAaCd@qA[u@v@cI?eA]q@P{D^_AtCeB~C}Dn@gUfFgWiLcGi@kAOsBj@mFgKwJmNoPwHuGqYa`@kAcC]{@T}@rL}J~Am@z@X_DjCz@bDsE}IqAwGaA{BKiDr@_Bc@WMvATBHu@sC_N_B}BmAa@A{AmBkBs@]w@tAaEk@oCv@eF`HyAtHgCfE{B~@yDc@{FhGoCMmCuAaCwEo@_EYcOi@eF{AyEwEuGaBOmApElCvCUn@qViGyDwDsBiJdAsBy@}AYsBZeEa@iAeCIyDyD}Bs@m@_B{K_B}B_E_D|Ae@fALd@`@UNuBWuAq@w@oGz@sEk@aE_HcHqIkHyH_ANmBnC{AXiDoBmDBcGyEwAc@_AvM	58.68000000000001	6918	Mt Coo-tha summit #70	0	42	FALSE	2	Ride	2023-01-01T05:05:34Z	2023-01-01T15:05:34Z	-27.43283404	153.03315022	(GMT+10:00) Australia/Brisbane	654	0	FALSE	Ride	8919745566	8919745566	36000	everyone	10	128.9	179
0	37641772	1	1	0	0	FALSE	TRUE	0	4057	NA	NA	NA	NA	2023-01-01_23-49-02_e21acde5-7a5c-417f-b1b8-46c08e68e82d.tcx	FALSE	FALSE	NA	TRUE	FALSE	FALSE	8323186415	3	FALSE	a8323186415	2		0	4057	Strength and stability exercises #53*	0	0	FALSE	2	Workout	2023-01-01T22:39:49Z	2023-01-02T08:39:49Z	NA	NA	(GMT+10:00) Australia/Brisbane	0	0	TRUE	Workout	8924276721	8924276721	36000	everyone	NA	66.5	84
4	37641772	1	1	18.4752	0	FALSE	TRUE	40.296099999999996	8720	277.1	5.2	-27.43315822	153.03299105	2023-01-02_23-38-36_79c8308b-0f15-48db-9f9d-9f676ce0b703.tcx	FALSE	FALSE	b10387460	TRUE	FALSE	FALSE	8328677544	2	FALSE	a8328677544	2	tjmfDs_ae\fEFtDhBnAg@zAiChAGlIjKdFfFjE~GrF|@hFu@x@~@\dBUtBYc@XiA~C_BdC`E|Cb@FrAvFTlCbB|DxDfCR\pA?dH~@~AkAjBfC~JdBrBdCnAdI`B`DxA~El@Hu@aDmD^wBr@iAvAL~EnHbB~EpA|Vf@|CxBhE`DxApCPtF{G|Ab@vE{A|BeDfBcJ|IeJpBPlA`CAhBdGlGKz@kCpEk@vC`@b@d@nFTrIz@dD|AnCPjBjBhFn\dc@bDdDpB`A`OlQzIdIq@~Eb@Rx@fDpLnGkFhWeAhVaDzDyDxCUdEj@jAw@zJZd@c@nA|@jBw@fG}@vCNf@j@W?kAgD^{@yBsAg@sBb@mFxDmB~EeFn[KlDdFbRJ`G|@n@xFf@xJhJpA|DbDhAnA`DtFrCfFlIlCj@zElDb@hAe@zC|BtCd@pCe@dCh@JtAmJQ_AsLwJwDaBsGcI{DsByAcD_DgBeBwD}AwAaDoAcDeC}EPwB{@{@{Bd@aFc@}BeEwFiEw@aJ|D_JrBc@`BsFrCkB|CgD~Jp@lIMvAuAnBq@vDaE|@_AnABx@dAfCk@zDz@zBDjAg@~AyChB]nARjAfB`B?fBc@x@cD~AyApCSlCZrAdDlBrDvD\lAAxAiBrHw@rIh@bQj@hFr@nBhBlAbWd@xIfJhACvC}A~GsIhEuBfBmEtDcEjAg@tDMnBmBn@sEAyDrAqDlFaH`BmTv@m@bAHxBlD`AP~FuBlEeDvEkAj@_BN}BWeAr@o@l@kGl@}A[iAiHqGuGiDqG}HgF}C{AyCqCoAqBwDcB_B}H{EyELcBc@gA_C`@gEM{BcDaEg@wBnIsi@fA}CtGoEhCu@|@d@t@xBhDQ@fAs@\nBwLaAgCl@gA_@m@j@kIa@eBFaCp@iC|CuBlCeDv@{UxEySFwByKkFw@aBQkBh@cFsJ_JkNqQwIeHs[ic@c@oAVs@jN}KnAOT^qClCn@fCcE}GeBiIaA}BG}Cp@sBm@HSlA^I@aAgCgMeDwDsA}CcAk@q@lBgEeAgDl@Ev@kErFmA`H}BdE_CfAmE]aF`G_CZaEyB}AgD{@oEMcI_AyLoBkFeE_G_B[u@lA[tBlC~CGz@{IaAsHoBsHaEuBaMtAaB{@{A[uB^cEOkA{CQkEuDmBq@c@iBuKmAoBkCK_A{CvAm@fAFj@\YVoByAkCkFx@eFm@yEmH{GwIgHkH{@NoBxCsAVoDoBmDHyImGeAtM	63.72	7852	Mt Coo-tha summit #71	0	2	FALSE	2	Ride	2023-01-02T21:17:21Z	2023-01-03T07:17:21Z	-27.43305007	153.03693387	(GMT+10:00) Australia/Brisbane	666	0	FALSE	Ride	8930870387	8930870387	36000	everyone	10	117.3	170
0	37641772	1	1	0	0	FALSE	TRUE	0	3371	NA	NA	NA	NA	2023-01-03_07-12-32_44fb5d00-6671-4aba-a202-478f98966e52.tcx	FALSE	FALSE	NA	TRUE	FALSE	FALSE	8329591523	1	FALSE	a8329591523	2		0	3371	Strength and stability exercises #54	0	0	FALSE	2	Workout	2023-01-03T06:20:46Z	2023-01-03T16:20:46Z	NA	NA	(GMT+10:00) Australia/Brisbane	0	0	TRUE	Workout	8931924376	8931924376	36000	everyone	NA	76.1	140
12	37641772	1	1	21.0312	0	FALSE	TRUE	40.536300000000004	7057	277.1	5.2	-27.43319106	153.03298558	2023-01-03_22-53-08_7bce5332-21fb-4c0d-aa9d-ae39550dfabc.tcx	FALSE	FALSE	b10387460	TRUE	FALSE	FALSE	8333899331	2	FALSE	a8333899331	2	h}lfD_x`e\vAyN`JtGbDO|CnBbBQvB_D`ACjHxHt@zApFvF`D`G~FfAtFm@v@x@XxAOdB]JO_@z@cBrCeApB~DpDh@LvApFLTp@~Ad@xEdEzBTb@rAM`CVnDv@vAqArBzAhHpBbDtCfBnUjFBaAyCqCh@iCtAgAv@Z|DtFzBrGjBnZvBdF~@n@zFbApFqGfBPhDs@xAgAjAwBhA_Ht@y@SA^@jE}FzBmAtB@hAp@^l@`@pDlDnFgC`FWnDTXbA|Pt@tD|ArCJvAhBfFvZxa@dInGnL~NrL`Lk@~E\Jx@pDrLfGkFdWoArV_DzDuDtCYhEh@lAo@jJZb@k@|At@~@Dv@c@~AM~C}@|Cv@UDaAkDDgAiBqA[iBl@mF`EmBtEqFp_@XrC|DvLHlHzFv@lAj@zIlI~@jDzCnAjAzCpFzCdGpIfDt@hDxC`AbBe@hDtBxBn@fD]pBh@?tAaIIqAgLwI{CmAiGcIyF}DwAmCiCiAwAyCyByBmDqAkDgCuDNwBk@aAgCf@iFa@kBqBoBeAgC{Ey@eLjEyGzAgGrEyAhBsEdNAzA~@vFKvAuAhBaAzDyDf@cArABhA~@`Bm@bEfAzBDbAw@pBaDtBQbBTv@zAjABzAaErCyArBYvCJ~AtIxGx@dCIrA_BfFmAnKf@bLnBjN|BjBtV\fHfIbAn@tAC~CkBxGmIbEkBz@yA\iBjEwE|Fw@zA_Bx@yEK}Dn@qBzGyIx@gQ`@mBr@g@dADzBxD~@T`GgBfFgE~D_Ax@kCOcDj@k@zA_JScAwG}FiEiDqCkAeGqHcEyB{AeDyC{AgBuDwBiByDwAeB}AwGOoAk@k@}@MsAp@aEWyAwC_Ds@uBjKin@dEqDhEsBpAXnAbCjCYNdAs@`@hAwDFgCf@wBcAaCf@cAa@s@r@}I?u@a@m@T}D`@aAxCmBvCsDr@mUxEoTF}AiLyFq@yB^aHOc@_L_LsLaOyCgBsDqDa\{c@Yy@Tu@rF}E`F_E|A[`@`@}CpCv@lCuE{IiA{GaAiBOkDl@cBe@GGrATaBcCiLkE_Fa@DLiAcBqBYGw@bA{DUaCd@e@zA}DpEq@zAo@|EeC|DgCjAwDa@yEtFwBn@cEyByBsEo@qEE}EaAuNcBeFuEoG_BUmA`EvChDSl@yUoF{D}CsAyCcAwFfAuBw@oA]iCPwF_D[aDkDqCeAe@cBgL}AmBaEaBd@qAlASfAZZ`@eCO}@iAuAeGr@kEo@yEwH}E_FcJmKeARqBrCyARsCgByD?wIgGiArM	65.088	6939	Mt Coo-tha summit #72	0	3	FALSE	2	Ride	2023-01-03T20:58:49Z	2023-01-04T06:58:49Z	-27.43319037	153.03294056	(GMT+10:00) Australia/Brisbane	652.4	0	FALSE	Ride	8936768583	8936768583	36000	everyone	10	128	172
0	37641772	1	1	0	0	FALSE	TRUE	0	4105	NA	NA	NA	NA	2023-01-04_05-37-38_eda20e1e-4074-41c1-bff8-029d267083aa.tcx	FALSE	FALSE	NA	TRUE	FALSE	FALSE	8334897806	3	FALSE	a8334897806	2		0	4105	Strength and stability exercises #55	0	0	FALSE	2	Workout	2023-01-04T04:31:33Z	2023-01-04T14:31:33Z	NA	NA	(GMT+10:00) Australia/Brisbane	0	0	TRUE	Workout	8937886513	8937886513	36000	everyone	NA	75.7	111
0	37641772	1	1	0	0	FALSE	TRUE	0	4186	NA	NA	NA	NA	2023-01-05_00-46-09_75c5c847-acdb-45cc-b5a1-5b8e33b680df.tcx	FALSE	FALSE	NA	TRUE	FALSE	FALSE	8339684669	2	FALSE	a8339684669	2		0	4186	Strength and stability exercises #56	0	0	FALSE	2	Workout	2023-01-04T23:38:03Z	2023-01-05T09:38:03Z	NA	NA	(GMT+10:00) Australia/Brisbane	0	0	TRUE	Workout	8943205087	8943205087	36000	everyone	NA	71.5	133
0	37641772	1	1	2.3976	0	FALSE	TRUE	2.025	3039	NA	NA	NA	NA	2023-01-05_08-06-19_aaa0e519-a5be-455f-b1b0-3ae6c2c946f3.tcx	FALSE	FALSE	NA	TRUE	FALSE	FALSE	8340562766	3	FALSE	a8340562766	2		0	3039	Indoor pool swimming #30	0	0	FALSE	2	Swim	2023-01-05T06:37:40Z	2023-01-05T16:37:40Z	NA	NA	(GMT+10:00) Australia/Brisbane	0	0	TRUE	Swim	8944185143	8944185143	36000	everyone	NA	112.8	141
36	37641772	1	1	20.8332	0	FALSE	TRUE	40.4254	7379	276.9	4.8	-27.43313083	153.03299127	2023-01-05_22-47-01_934a35b6-43da-43ab-aa32-b5022aa5f2a8.tcx	FALSE	FALSE	b10387460	TRUE	FALSE	FALSE	8344484813	3	FALSE	a8344484813	2	bjmfDy_ae\lEJdC`BfAF~@a@~AsC~@EpH|HbHnIjAzCjB`CjFz@pF_A|AhCWdC_@]p@}ArCmAlB|DjDd@@nA|FZRn@tA\bFrEhCV^z@_@zCNzCbA`BeAtBxAlHzBfDxBrAbVrFD_AuCyC`@gCrAaAv@XpEpGlBxFfB`ZnAtD~AlBlGfAlF_HxAb@|DcApC_D`BsIdGoHjBmAvDdAd@t@Q`BlFxHDd@qCbEe@xCh@jAn@nOv@jDtBpGdBlEd[va@tHvG|PdSlH|Gc@|EjAvDtLjGmFlWiAfVoI`JYbE^hA{@fJh@^o@~A|@xBo@fF}@zDz@O@gA{BLiAmB_Bg@gCn@qEzCaCtFcG~^b@`EnDvJZ~CQdC`@~AvIrAhJvI`AdEfD`B|@tBvEpC|GbIzCjAvFrEFf@u@xBzBtD\nC]fCh@Fb@}E[kCg@DbApBv@cCQe@sJqI}GoDqEwGmFeDwAsC_CaAgB{DyAyA_JgFcGOuAw@u@iCd@mF[sAwE}FsEi@mLvE{FtAiJrHwEdNFzC|@`EMvAsArBy@vDgDb@sA~AAz@`AzBc@tEnAjBBpA}@nB_DxA_@vALx@bB|AJzAk@lAgEhC_AhEV~BpF|C|ApBr@tCMdBaB`Fy@~Jn@nQb@fEr@|AbCtAtVf@pIxIvA?tCwA|GmI`EmB`ByE|AkB`DwBpEWtAwAp@mE?{Df@mB~GsJfBuT~BWbClDvALjFyAbEyDpEcA|@qDUwCd@Y~AmJUcAgHqGyHeEaGyHuEiCyAaDcDoByCcFcF{B_CsB_FNcC_As@gC^}GaDcEy@{B|F}[xAsL|@wCfKiG`Bh@x@`CxC_@DnAk@RGi@dAcDHqCj@uBaAkAf@sAe@{@n@qI_@_BTgE~DmDtC{Dr@wUzDkP`@{EcL}Fw@sDj@sFcJsIoOaReGwEg^}e@Ss@Xy@~LiK|Ai@p@b@{CjCl@fC}DaHsA}HuAoFr@{Cg@GSjA^IEiB}B{KuAkCeC}An@e@sCkCy@n@A~@_Fm@iFbEwB|CgBhIaCtCiCdAyCc@_GpG}AZuEaCyBsF_AwUq@gEiBwE_EuFs@SsAn@q@jCfClCBbA_VmFkBgAcCgDmBkHBo@dAiAmA_FXuDQq@yCo@yDyDuBq@g@mBqKoA{BkEyCpAg@j@KlAb@WRkBa@uA{@s@wFt@{Eu@mEkHsDsDcE{EgEiF{@LqBrCeBTyCgByDBcGaF{Aa@w@hM	63.504000000000005	6986	Mt Coo-tha summit #73	0	15	FALSE	2	Ride	2023-01-05T20:47:38Z	2023-01-06T06:47:38Z	-27.4327529	153.03550574	(GMT+10:00) Australia/Brisbane	659.2	0	FALSE	Ride	8948569415	8948569415	36000	everyone	10	125.9	167
